track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names,release_year,track_duration_sec,source_playlist_id
5yR26TumS74yhIOGhn8Hs8,Payback,349489,47,"['progressive house', 'big room', 'edm']",2BoVLp1bG7rLETC2roj2kX,Payback,2015-02-16,,"['10hGPIDZi33LRaYRIq3Bh4', '4FqPRilb0Ja0TKG3RS3y4s']","['Dimitri Vangelis & Wyman', 'Steve Angello']",2015.0,349.489,67PaYmoZUrRaSXaWEIJglP
2M8hogIUDLzlx3ac9yTiAI,Calling (Lose My Mind) - Extended Club Mix,375400,43,['edm'],1QL4aGJ6SwMK94EEf8Kdhc,Calling (Lose My Mind),2012-01-01,,"['6hyMWrxGBsOx6sWcVj1DqP', '4AVFqumd2ogHFlRbKIjp1t', '4we5S2VLjgY9KzIzApL1KI']","['Sebastian Ingrosso', 'Alesso', 'Ryan Tedder']",2012.0,375.4,67PaYmoZUrRaSXaWEIJglP
6EsH66Uto1zwZlDGQ6RokU,Forbidden Voices,230634,62,"['electronica', 'edm', 'progressive house']",3COyh97TYskmV4cOqPed49,Forbidden Voices,2015-02-23,,['60d24wfXkVzDSfLS6hyCjZ'],['Martin Garrix'],2015.0,230.634,67PaYmoZUrRaSXaWEIJglP
12MqM3S0fTvR6X4Jt1Xvn6,Until You Were Gone,215624,54,"['progressive house', 'edm', 'progressive trance']",57xpW4q7DYWh7pWzrJ7dK0,Until You Were Gone,2015-09-18,,"['69GGBxA162lTqCwzJG5jLp', '521qvhdobR0GzhvU6TFw76', '1oKdM70mJD8VvDOTKeS8t1']","['The Chainsmokers', 'Tritonal', 'Emily Warren']",2015.0,215.624,67PaYmoZUrRaSXaWEIJglP
3zU9rdflI65tK4dkkNSp77,Heroes (we could be),210013,77,['edm'],0tRVSbmOwilUucqjzU0fQw,Forever,2015-05-22,,"['4AVFqumd2ogHFlRbKIjp1t', '4NHQUGzhtTLFvgF5SZesLK']","['Alesso', 'Tove Lo']",2015.0,210.013,67PaYmoZUrRaSXaWEIJglP
1JDIArrcepzWDTAWXdGYmP,I Want You To Know,240000,71,['edm'],4jKdXIJckKh7la6xHuKwRT,True Colors,2015-05-15,,"['2qxJFvFYMEDqd7ui6kSAcq', '0C8ZW7ezQVs4URX5aX7Kqx']","['Zedd', 'Selena Gomez']",2015.0,240.0,67PaYmoZUrRaSXaWEIJglP
4yTeQK2XThWYeEW8D72XmU,Dear Boy,479333,56,['edm'],2H6i2CrWgXE1HookLu8Au0,True,2013-01-01,,['1vCWHaC5f2uS3yhpwWbIA6'],['Avicii'],2013.0,479.333,67PaYmoZUrRaSXaWEIJglP
7qt78Jk9GNvFCYoTQSmC0q,Colors - Extended Mix,307500,9,"['big room', 'house', 'electronica', 'trance', 'dance', 'progressive house', 'edm']",3J2kE9mFXs4bqny2OMm89p,United We Are (Extended Deluxe Edition),2015-01-23,,"['6BrvowZBreEkXzJQMpL174', '2o5jDhtHVPhrJdv3cEQ99Z', '5kW2ng5av985BfqrOMRpk0']","['Hardwell', 'Tiësto', 'Andreas Moe']",2015.0,307.5,67PaYmoZUrRaSXaWEIJglP
6wslXVrCxc7NzEN9nXosJ3,Don't Stop The Madness - Album Extended Mix,299076,11,"['electronica', 'edm', 'big room', 'progressive house']",3J2kE9mFXs4bqny2OMm89p,United We Are (Extended Deluxe Edition),2015-01-23,,"['6BrvowZBreEkXzJQMpL174', '2rTo8KIkBTFjQS7VvaKYQ4', '15GGbJKqC6w0VYyAJtjej6']","['Hardwell', 'W&W', 'Fatman Scoop']",2015.0,299.076,67PaYmoZUrRaSXaWEIJglP
5lByoyTJti3jYo22bLQKOH,Burnin,234773,48,"['edm', 'slap house']",48zisMeiXniWLzOQghbPqS,Motion,2014-10-31,,"['7CajNmpbOovFoOoasH2HaY', '6cEuCEZu7PAE9ZSzLLc2oQ']","['Calvin Harris', 'R3HAB']",2014.0,234.773,67PaYmoZUrRaSXaWEIJglP
