track_id,track_name,track_duration_ms,track_popularity,track_genres,album_id,album_name,album_release_date,album_label,artist_ids,artist_names,release_year,track_duration_sec,source_playlist_id,playlist_name,playlist_owner
18nZWRpJIHzgb1SQr4ncwb,Supernova,178880,64,['k-pop'],7mpWlMAMdCErqVquIUHsiN,Supernova,2024-05-13,,['6YVMFz59CuY7ngCxTxjpxE'],['aespa'],2024,178.88,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
38tXZcL1gZRfbqfOG0VMTH,How Sweet,219026,79,['k-pop'],0EhZEM4RRz0yioTgucDhJq,How Sweet,2024-05-24,,['6HvZYsbFfjnjFrWF950C9d'],['NewJeans'],2024,219.026,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
19D8LNpWwIPpi6hs9BG7dq,Bubble Gum,200266,75,['k-pop'],0EhZEM4RRz0yioTgucDhJq,How Sweet,2024-05-24,,['6HvZYsbFfjnjFrWF950C9d'],['NewJeans'],2024,200.266,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
4N45PHznf6nObFel4Wvtf1,###,188200,43,['k-pop'],2g1hdqa81f2ntowdlEgEAP,<###>,2024-07-20,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2024,188.2,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
1vXv9dofiTKuSDhHjHPy0V,Inner Dance,181346,28,['k-pop'],3fyTTHC2mJd3FUl6RXVEct,Glow <Inner Dance>,2024-06-21,,['5Z71xE9prhpHrqL5thVMyK'],['tripleS'],2024,181.346,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
2v7aUMUc1kerJyaRmIx9zd,I'll Like You,127684,67,['k-pop'],7CBwpeVQ27cWwyEYjByVH1,I'LL LIKE YOU,2024-10-21,,['36cgvBn0aadzOijnjjwqMN'],['ILLIT'],2024,127.684,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
2MoUuJhpSO4a0czxvsrSC6,Cherish (My Love),176854,70,['k-pop'],7CBwpeVQ27cWwyEYjByVH1,I'LL LIKE YOU,2024-10-21,,['36cgvBn0aadzOijnjjwqMN'],['ILLIT'],2024,176.854,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
0znsc67nMhP4X9hjhvoyeP,Tick-Tack,129468,79,['k-pop'],7CBwpeVQ27cWwyEYjByVH1,I'LL LIKE YOU,2024-10-21,,['36cgvBn0aadzOijnjjwqMN'],['ILLIT'],2024,129.468,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
6oNLSQX8bcAdbCElZYju3v,Supersonic,174146,70,"['k-pop', 'bubblegum pop']",1sxOavrEVy7krHpcbCsiJi,Supersonic,2024-08-12,,['24nUVBIlCGi4twz4nYxJum'],['fromis_9'],2024,174.146,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
4svequXK79GDI3cXJ8es4S,Beat the Heat,174706,46,"['k-pop', 'bubblegum pop']",1sxOavrEVy7krHpcbCsiJi,Supersonic,2024-08-12,,['24nUVBIlCGi4twz4nYxJum'],['fromis_9'],2024,174.706,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
3pqgVtpnQbBAZoWT4AEm1B,Stay This Way,195653,59,"['k-pop', 'bubblegum pop']",5HpgQwHm9jI5JcnmJqcCYo,from our Memento Box,2022-06-27,,['24nUVBIlCGi4twz4nYxJum'],['fromis_9'],2022,195.653,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
1lTBkwEm0wim9RsMXqtqWy,My Name is Malguem,188320,62,"['k-pop', 'k-rock']",4i0rZXe1lgKDzJ8LkueifT,2nd Mini Album 'Algorithm's Blossom',2024-09-23,,['0XufO9nLOKNN0w0qNrDrZy'],['QWER'],2024,188.32,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
6uPnrBgweGOcwjFL4ItAvV,Whiplash,183226,78,['k-pop'],3OaW4df1SA62k0arNpn6bK,Whiplash - The 5th Mini Album,2024-10-21,,['6YVMFz59CuY7ngCxTxjpxE'],['aespa'],2024,183.226,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
7dYEUpcXJLDcI22m0dgmnH,Kill It,199626,54,['k-pop'],3OaW4df1SA62k0arNpn6bK,Whiplash - The 5th Mini Album,2024-10-21,,['6YVMFz59CuY7ngCxTxjpxE'],['aespa'],2024,199.626,79wownAbGIcQUKxD0bkI90,THE BEST POP 2024,Jimin
